Week,"New York, NY","Chicago, IL","San Francisco, CA","Houston, TX","Boston, MA","Philadelphia, PA"
5/7/17,15,0,21,37,0,0
5/14/17,8,0,0,19,0,0
5/21/17,17,0,0,0,50,0
5/28/17,9,0,11,0,51,0
6/4/17,16,15,11,0,33,0
6/11/17,17,0,0,0,17,0
6/18/17,0,0,0,0,0,18
6/25/17,18,0,0,0,0,0
7/2/17,0,0,0,0,0,0
7/9/17,8,0,23,0,0,0
7/16/17,18,0,23,59,0,0
7/23/17,9,0,0,19,0,0
7/30/17,17,0,11,0,0,0
8/6/17,0,0,11,38,17,0
8/13/17,0,0,11,0,17,18
8/20/17,17,15,0,0,0,0
8/27/17,0,29,0,20,0,17
9/3/17,25,15,0,0,16,17
9/10/17,24,14,0,0,16,0
9/17/17,32,0,0,0,16,33
9/24/17,25,14,10,37,0,17
10/1/17,41,0,0,0,0,17
10/8/17,24,42,20,0,47,0
10/15/17,16,14,0,39,0,17
10/22/17,24,29,11,20,16,17
10/29/17,8,0,11,19,32,16
11/5/17,41,14,10,19,32,48
11/12/17,33,29,31,55,16,16
11/19/17,43,15,46,0,0,16
11/26/17,31,14,41,0,16,61
12/3/17,48,29,31,19,32,77
12/10/17,32,43,94,38,16,15
12/17/17,100,30,22,39,17,16
12/24/17,95,33,91,85,19,35
12/31/17,49,62,100,78,0,63
