,Boston,Chicago,Houston,LosAngeles,Miami,NewYork,Philadelphia,Phoenix,SanFrancisco,Seattle
2007-12,10.58291593351122,124.22349679898441,0.0,0.0,0.0,0.14634763993316624,0.17379478737997253,0.0,0.0,2.4356682769726254
2008-01,0.6773482948987508,1.9858035039865107,0.0,0.0,0.0,0.009393382771524213,0.07504132231404959,0.0,0.0012698412698412698,1.1252034176349965
2008-02,1.7215548987339495,1.3612129543402118,0.0,0.0,0.0,0.8348252570083685,0.2250026564861211,0.0,0.0,0.11214285714285714
2008-03,0.060426392779333954,0.2099009118239974,0.0,0.0,0.0,0.0006379585326953749,0.0010869565217391304,0.0,0.0,0.53368373172721
2008-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400738095238095
2008-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006097560975609756,0.0,0.0
2008-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-07,0.0,0.0,0.0,0.0,0.0,0.31683168316831684,0.0,0.0,0.0,0.0
2008-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0011869436201780415,0.0,0.0,0.0
2008-09,0.0,0.0,0.0,0.0,0.0,0.4223376623376624,0.0,0.0,0.0,0.0
2008-10,0.0,0.0,0.0,0.0,0.0,0.0,0.01675675675675676,0.0,0.0,0.0
2008-11,0.02452361420367983,0.3717699559760706,0.0,0.0,0.0,0.0224407421431276,0.04488920920463403,0.0,0.0,0.0008865248226950357
2008-12,40.342013660348485,1.4584994103578017,0.03543478260869565,0.0,0.0,12.757567160651917,0.6346117283656263,0.0007692307692307692,0.0008938547486033521,32.65107746281483
2009-01,1.6277897372333399,1.2108221007102895,0.0,0.0,0.0,0.6291445823454007,0.2839234261082636,0.0,0.0,0.27330800648982473
2009-02,0.6918032454361056,0.3277672428098296,0.0,0.0,0.0,0.3895572223954992,0.6363082093325185,0.0,0.0,0.22855739085676854
2009-03,0.692898982585125,0.226787104375078,0.0,0.0,0.0,0.3528314028314028,0.3101279593675759,0.0,0.0,0.3894736026202668
2009-04,0.0010416666666666667,0.11795493934142114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0254290967766145
2009-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-07,0.0,0.0,0.0,0.0,0.0,0.7111111111111111,0.0,0.0,0.0,0.0
2009-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-10,0.032172473437113915,0.0,0.0,0.0,0.0,0.0018779342723004694,0.0,0.0,0.0,0.002130177514792899
2009-11,0.2214936247723133,0.0050478417540871885,0.02679738562091503,0.0,0.0,0.05536303630363035,0.07037845705967975,0.0,0.0,0.005635975320360702
2009-12,142.61098735595397,5.868034865862748,0.0,0.0,0.0,21.58922997423126,4.672402862386756,0.0,0.002898550724637681,0.049088143112702855
2010-01,0.42289205826916465,0.7672798632725142,0.0,0.0,0.0,0.32201592364962595,1.381948528575799,0.0,0.0,0.0
2010-02,0.8182330365589863,1.4552906822756067,0.0,0.0,0.0,2.913950037714243,1.7817839314257826,0.0,0.0,0.0
2010-03,0.00404643936849177,0.08984759642116968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03176263286534416
