,Boston,Chicago,Houston,LosAngeles,Miami,NewYork,Philadelphia,Phoenix,SanFrancisco,Seattle
2006-01-08,9.968627450980392,6.0766233766233775,21.468918918918924,19.080578512396695,24.361016949152546,10.886705202312141,12.28639455782313,21.9,14.031739130434781,8.87378640776699
2012-01-08,4.875862068965517,3.434210526315789,17.887692307692305,21.085042735042734,24.188888888888886,5.760162601626015,6.423076923076923,18.897894736842105,16.45625,5.621428571428573
2017-01-08,5.336746987951808,2.0753246753246746,23.88214285714286,16.0479797979798,24.346031746031745,6.801075268817203,6.633552631578947,18.681944444444444,12.603167420814481,3.614423076923077
2005-01-09,5.127096774193548,0.6514285714285715,20.38108108108108,18.78884297520661,25.26086956521738,6.778857142857142,8.775816993464053,18.64387755102041,11.447938144329898,4.300000000000001
2011-01-09,-0.44242424242424244,-2.025274725274725,10.590625,21.689861751152073,22.5968253968254,0.4755244755244755,-0.0918604651162791,20.129896907216498,14.374299065420562,8.313392857142857
2013-09-29,22.042953020134227,24.508333333333333,30.934615384615388,27.894416243654828,30.512962962962963,25.82650602409639,27.732116788321168,31.883783783783784,24.51027027027027,15.489473684210523
2008-09-28,17.467200000000002,16.139655172413793,30.497959183673473,26.320858895705523,29.28444444444444,19.04040404040404,20.11714285714286,33.3344262295082,21.944155844155844,18.144
2014-09-28,15.333333333333334,17.122222222222224,30.160000000000004,33.86764705882352,32.68666666666667,19.487142857142853,20.961739130434783,33.519642857142856,31.678980891719746,20.202631578947365
2009-09-27,16.405434782608694,14.65625,29.4775,26.748031496062993,30.77777777777778,18.793333333333333,19.488636363636367,31.252,22.394354838709674,15.1037037037037
2015-09-27,14.772631578947365,15.07906976744186,29.371875000000003,26.346666666666668,32.3,15.385454545454545,15.630434782608694,35.4125,24.373228346456692,18.276666666666664
2004-09-26,19.411764705882348,20.14,31.731034482758613,25.762857142857143,30.59166666666667,21.018181818181816,21.671212121212122,33.285714285714285,20.552040816326528,20.671111111111113
2010-09-26,21.606944444444448,18.33055555555555,29.379999999999995,29.220430107526877,31.096296296296302,20.435714285714283,21.005000000000006,38.192682926829264,20.01914893617021,17.90714285714286
2005-09-25,22.023809523809526,26.05909090909091,32.154999999999994,27.224193548387095,30.700000000000003,23.69347826086957,24.393181818181816,36.57037037037037,22.226470588235287,14.058620689655172
2011-09-25,21.14255319148936,16.043478260869566,29.383333333333333,30.782258064516128,32.00555555555556,19.879487179487175,18.706249999999997,36.69230769230769,21.755,16.440624999999997
2016-09-25,14.676086956521734,18.172727272727272,28.6125,26.112068965517246,31.272222222222222,16.73076923076923,17.311627906976742,32.83157894736842,20.529999999999998,16.8
2006-09-24,15.923809523809528,22.372727272727275,32.35,24.675757575757576,30.6375,19.783333333333335,20.138095238095243,36.94285714285714,15.415625000000002,17.971428571428575
2017-09-24,16.89090909090909,21.36363636363636,32.5875,25.324137931034482,32.233333333333334,19.323076923076925,19.490000000000002,34.541666666666664,24.696551724137926,15.321428571428568
2007-09-30,24.36078431372549,27.02682926829268,31.62972972972973,25.631944444444443,30.464516129032248,25.944520547945206,27.03333333333333,31.980000000000004,19.391162790697678,13.716504854368932
2012-09-30,20.03529411764706,16.738571428571426,28.695522388059697,29.78080357142857,31.026984126984125,22.15641025641025,23.157647058823528,35.86276595744681,26.595594713656386,19.95267857142857
2006-10-01,19.469536423841056,21.422077922077925,31.66,23.489655172413794,30.80491803278688,20.96511627906977,21.078911564625848,34.195918367346934,17.635483870967743,16.645544554455444
2017-10-01,23.234394904458597,24.555844155844152,31.769642857142856,27.693596059113307,30.737704918032783,24.705434782608698,25.28321678321678,34.52278481012659,25.88921568627451,17.431372549019606
2004-10-10,16.637267080745342,14.199999999999998,27.141666666666666,24.847346938775512,29.29850746268657,17.41358024691358,17.354966887417216,31.273333333333333,26.017105263157895,17.703809523809525
2010-10-10,16.282098765432096,21.833333333333332,29.762686567164184,25.22952380952381,29.05238095238095,18.662992125984246,19.775539568345327,33.81134020618556,26.50720720720721,15.513265306122449
2009-10-11,9.994339622641508,8.728571428571431,28.09452054794521,25.277027027027028,31.91904761904762,11.416417910447763,11.327922077922079,32.91538461538462,20.794090909090908,15.259183673469387
2015-10-11,18.0,17.622077922077914,31.573214285714283,28.287619047619046,30.358730158730168,18.50412371134021,18.574534161490682,34.09880952380952,26.491928251121074,17.959405940594063
2008-10-12,16.807428571428574,18.637349397590366,27.476388888888888,28.451569506726457,29.585483870967742,19.767424242424244,21.788275862068968,31.34659090909091,26.178801843317974,13.916666666666664
2014-10-12,21.372891566265057,15.356578947368423,28.94,25.284716157205242,30.111111111111114,20.989690721649485,20.995652173913044,31.4609756097561,23.663470319634705,18.004504504504503
2013-10-13,18.94655172413793,13.961428571428572,25.991666666666674,28.034632034632036,30.49206349206349,19.921649484536083,20.150931677018633,28.159756097560976,25.4811320754717,13.036036036036034
2007-10-14,19.837662337662337,21.695238095238093,30.660273972602738,24.268695652173918,30.444444444444436,22.31027397260274,23.38486842105263,29.548351648351648,17.05855855855856,13.079611650485438
2012-10-14,19.242857142857144,16.122857142857143,28.928787878787883,28.215555555555557,30.58730158730159,19.227678571428573,19.61907514450867,32.62765957446809,24.23111111111111,14.253153153153152
2006-10-15,15.852380952380953,13.140259740259742,27.648648648648646,26.311013215859028,30.509677419354837,17.973529411764705,18.453061224489794,27.3765306122449,21.84128440366972,14.430392156862744
2017-10-15,21.09375,21.42467532467532,27.8490909090909,28.737623762376234,30.674603174603174,21.437634408602154,21.26029411764706,33.253164556962034,21.90576923076923,14.28557692307692
2005-10-16,14.49455782312925,16.55454545454546,30.159459459459462,20.611538461538462,29.57258064516129,16.745731707317074,17.61045751633987,28.315463917525772,21.88771186440678,17.23300970873786
2011-10-16,17.44269005847953,13.45952380952381,27.25294117647059,26.03816425120773,26.693650793650793,18.111029411764704,18.45149700598802,34.61914893617021,23.703902439024386,15.03873873873874
2016-10-16,21.78456790123457,19.83506493506493,29.432142857142853,28.041293532338308,29.255,22.844086021505372,24.303472222222226,33.88356164383562,22.20138888888889,14.366019417475728
2004-10-17,10.52608695652174,15.421428571428574,31.75999999999999,18.92459677419355,29.605970149253732,12.932051282051283,13.519480519480519,25.31808510638298,17.131004366812228,12.75238095238095
