date,Boston,Chicago,Houston,NewYork,Philadelphia,SanFrancisco
2009-1,-10.948837209302328,-13.686065573770493,5.418769230769231,-6.754132901134521,-6.628892215568863,5.468004459308807
2009-10,4.514835948644793,5.01455525606469,16.768437499999997,7.874061433447099,7.126470588235295,10.631059063136457
2009-11,3.3966573816155985,2.4899721448467966,10.676825396825398,6.375506445672191,4.908278145695364,7.402178423236514
2009-12,-5.332517006802721,-6.256793478260869,5.552631578947368,-2.263141025641026,-2.938764044943821,4.848582995951418
2009-2,-6.560171919770774,-7.434730538922155,10.169655172413794,-3.400900900900901,-3.5243464052287576,5.832943925233645
2009-3,-3.101290322580645,-1.435483870967742,11.389556962025317,-0.18968253968253987,0.04699537750385208,6.401341589267286
2009-4,3.561898395721925,2.7633333333333336,14.633548387096774,6.063035714285714,5.816236722306525,7.44468085106383
2009-5,8.90239099859353,9.513709677419355,20.497846153846158,11.25260663507109,11.400146627565983,10.276683937823835
2009-6,12.755786350148368,14.308055555555555,23.118808777429468,15.320373514431237,15.706099518459071,11.957063403781982
2009-7,15.41042584434655,15.312261580381472,24.732,17.58787878787879,17.14698972099853,12.601628664495115
2009-8,17.11193820224719,15.971629213483146,24.23302180685358,19.789028213166148,19.331664212076586,13.46556854410202
2009-9,10.157848837209302,12.790422535211267,21.326182965299687,13.962897526501767,13.601975683890577,13.613651877133108
2010-1,-5404.316666666662,-3532.3166666666684,1307.3899999999985,-2211.758823529411,-3036.086363636366,6483.562068965529
2010-10,5.891803278688525,6.522162162162162,15.101246105919003,9.36243291592129,7.908059210526316,11.113003095975232
2010-11,0.6940845070422537,0.18951841359773397,10.724806201550388,3.7995016611295678,1.9537070524412299,7.257878151260504
2010-12,-5.597817189631652,-9.170224719101123,6.930000000000001,-3.143493150684932,-4.485059422750425,7.27513007284079
2010-2,-4.594848484848485,-6.7663690476190474,4.101760563380282,-2.9726358148893364,-4.530831973898859,7.316538882803943
2010-3,0.5925311203319502,-0.05887096774193535,8.978548895899053,3.38156146179402,2.7114613180515765,6.492073170731708
2010-4,4.538880918220946,6.432303370786517,15.257615894039732,7.49293893129771,6.697878787878788,6.898844537815126
2010-5,9.716598639455782,10.965768194070082,20.5062893081761,12.389057239057237,12.388938053097347,8.268855721393036
2010-6,14.701412429378529,16.58225352112676,24.27987012987013,17.946724137931035,18.26944,11.59632277834525
2010-7,18.036326530612246,19.752054794520546,24.505555555555556,21.126565143824028,20.238769230769233,11.543818001978238
2010-8,15.882016348773842,19.225135135135137,25.002356902356897,19.337370242214533,18.869333333333334,10.349500998003993
2010-9,13.273267326732674,12.92841225626741,22.28704318936877,15.923383084577113,14.793729372937294,11.504870466321245
2011-1,-7270.976000000003,-3959.0769230769206,1446.9874999999997,-3701.2947368421037,-5166.466666666669,6093.835483870963
2011-10,7.1839262187088275,6.393800539083558,15.024745762711865,9.370499999999998,7.711650485436894,11.803800217155267
2011-11,2.4693243243243246,2.596619718309859,11.274999999999999,5.52241054613936,3.6888392857142853,6.845647558386412
2011-12,-2.3120576671035384,-1.9668789808917195,7.784965034965035,0.8193811074918568,-0.3253922967189729,4.38990435706695
2011-2,-8.921961932650074,-7.153521126760563,7.054826254826254,-3.8051625239005737,-4.090060240963855,4.497222222222222
2011-3,-2.449208443271768,-2.000761421319797,13.221453287197232,0.7925589836660617,-0.011440677966101646,7.386358754027927
2011-4,3.9231086657496568,3.7694300518134716,17.321052631578947,7.02299794661191,7.25919540229885,7.395509309967141
2011-5,9.61704394141145,9.272606382978724,19.736148648648648,12.90051993067591,12.490014064697608,7.736807095343681
2011-6,13.409849521203832,15.372702702702702,23.689473684210526,17.13800675675676,16.768970588235295,9.538012958963284
2011-7,17.43733681462141,20.434520547945205,24.953559322033897,20.775099601593624,20.276627218934912,11.911919831223628
2011-8,16.476140808344198,17.450964187327823,25.3734693877551,19.254018691588787,17.910359712230214,12.713015184381778
2011-9,13.625342465753425,12.174166666666666,21.15017543859649,16.965505226480836,16.087609329446064,13.372885283893396
2012-1,-3985.933333333327,-2005.7090909090914,2525.325000000001,-1252.372222222224,-2117.0608695652177,5140.6965517241415
2012-10,7.267819148936169,5.631290322580646,15.398310810810809,10.152112676056339,8.781398416886544,11.53113113113113
2012-11,-0.14938608458390193,-0.08691275167785237,10.169642857142858,1.9057007125890737,0.22912332838038632,9.131759656652362
2012-12,-1.9124833997343957,-1.5,8.674647887323944,1.2197701149425286,0.6755917159763314,5.694851485148515
2012-2,-3.9923943661971837,-3.792332268370607,11.037269372693727,-0.3884250474383302,-1.3687405159332324,5.719153439153438
2012-3,1.4650980392156865,5.943401759530791,15.523448275862066,4.545486725663716,4.246372688477952,6.18802747791953
2012-4,3.9165991902834008,4.815902140672783,17.51272084805654,6.272008113590265,5.18546762589928,8.226605504587155
2012-5,10.630275229357798,12.06967741935484,20.485862068965517,13.618749999999999,13.670505617977527,9.52373887240356
2012-6,13.228129205921938,16.35333333333333,23.22937062937063,16.28156862745098,15.56235465116279,10.824890829694322
2012-7,17.31424802110818,21.36925566343042,23.85601374570447,20.66456211812627,20.223054755043226,12.359815005138744
2012-8,17.026963350785337,17.024193548387096,24.629591836734694,19.592173913043478,18.604438280166434,13.046288209606988
2012-9,11.576734693877551,11.971999999999998,20.885454545454547,15.360585585585586,13.933891213389122,11.618191268191268
2013-1,-4871.483999999991,-2504.4400000000014,2198.833333333333,-1277.375,-2092.513636363636,3865.5843750000063
2013-10,5.280366492146596,6.479220779220779,16.557414448669203,9.729166666666666,8.367932489451476,9.661176470588236
