,Boston,Chicago,Houston,LosAngeles,Miami,NewYork,Philadelphia,Phoenix,SanFrancisco,Seattle
2007-12-30,52.04545454545455,739.7799999999987,0.0,0.0,0.0,0.0,0.6,0.0,0.0,13.300000000000002
2012-12-30,14.000000000000004,38.300000000000004,0.0,0.0,0.0,3.8,28.800000000000008,0.0,0.0,5.699999999999999
2013-12-29,1300.9999999999998,3370.42261904761,0.0,0.0,0.0,798.8999999999999,1142.2999999999997,0.0,0.0,0.0
2003-12-28,0.2956521739130435,1.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0475,2.013157894736842
2008-12-28,192.8857142857143,2.5,0.0,0.0,0.0,60.927027027027,3.0265306122448976,0.0,0.0,157.07931034482755
2014-12-28,141.29999999999995,216.30000000000004,0.0,0.0,0.0,36.99999999999999,0.5,0.0,0.0,1.0
2009-12-27,707.6968750000003,23.006818181818183,0.0,0.0,0.0,103.81142857142851,17.721212121212123,0.0,0.0,0.0
2015-12-27,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2004-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-12-26,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0
2005-12-25,90.95294117647057,0.0,0.0,0.0,0.0,4.2105263157894735,0.5277777777777778,0.0,0.0,0.0
2011-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-25,0.8205128205128206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.048076923077
2006-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9
2017-12-31,2011.5000000000005,37.0,0.0,0.0,0.0,1011.2999999999998,637.9000000000001,0.0,0.0,0.0
2006-01-01,1.3262773722627736,0.0,0.0,0.0,0.0,0.05365853658536585,0.0,0.0,0.0,0.0
2012-01-01,0.008,0.05007727975270479,0.0,0.0,0.0,0.0,0.03541147132169576,0.0,0.0,0.0
2017-01-01,4.2105263157894735,0.0022448979591836735,0.0,0.0,0.0,2.843003412969283,2.456233421750663,0.0,0.0,0.005263157894736842
2010-01-10,0.016143497757847534,0.04991680532445923,0.0,0.0,0.0,0.0,0.013089005235602094,0.0,0.0,0.0
2016-01-10,0.5960655737704917,0.9664621676891616,0.0,0.0,0.0,0.061347517730496445,0.05364583333333334,0.0,0.0,0.0
2004-01-11,1.03984375,0.028571428571428574,0.0,0.0,0.0,2.733333333333334,0.9429752066115702,0.0,0.0,0.0
2009-01-11,1.8572327044025154,1.9413502109704643,0.0,0.0,0.0,0.7488721804511278,0.09340974212034385,0.0,0.0,0.0016528925619834713
2015-01-11,0.15873605947955388,0.75,0.0,0.0,0.0,0.0,0.004301075268817204,0.0,0.0,0.0
2014-01-12,1.00381679389313,1.0854026845637583,0.0,0.0,0.0,0.13775100401606424,0.009215017064846417,0.0,0.0,0.0
2008-01-13,2.7072847682119208,0.19937888198757764,0.0,0.0,0.0,0.03793103448275863,0.3752066115702479,0.0,0.0,1.0513157894736842
2013-01-13,1.3684587813620073,0.0030303030303030307,0.0,0.0,0.0,0.30153846153846153,0.0,0.0,0.0,0.00046948356807511736
2007-01-14,0.09791666666666665,0.7268292682926829,0.0,0.0,0.0,0.2146341463414634,0.05491071428571429,0.027777777777777776,0.0,0.5783783783783784
2018-01-14,0.9450276243093924,1.4845018450184497,0.04465408805031446,0.0,0.0,0.2978571428571429,0.4044665012406948,0.0,0.0,0.0
2006-01-15,0.0781954887218045,1.6828828828828828,0.0,0.0,0.0,0.8813559322033897,0.0,0.0,0.0,0.011594202898550725
2012-01-15,2.684444444444445,2.6583333333333337,0.0,0.0,0.0,1.4568493150684931,1.226384364820847,0.0,0.0,4.053611111111111
2017-01-15,0.1165289256198347,0.0007853403141361256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-01-16,9.33,3.9535714285714287,0.0,0.0,0.0,5.081102362204724,4.440458015267176,0.0,0.0,0.0
2011-01-16,4.029081632653061,0.5973947895791583,0.0,0.0,0.0,2.106172839506173,1.1941176470588235,0.0,0.0,0.005494505494505495
2010-01-17,1.408256880733945,0.001271186440677966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-17,2.8885294117647056,0.3210424710424711,0.0,0.0,0.0,6.775623268698061,6.401960784313724,0.0,0.0,0.0
2004-01-18,0.3314516129032258,0.5059523809523808,0.0,0.0,0.0,0.0846153846153846,0.5846153846153846,0.0,0.0,0.4357142857142857
2009-01-18,2.5974842767295594,0.3588,0.0,0.0,0.0,0.7180722891566265,0.4438016528925619,0.0,0.0,0.056993006993006995
2015-01-18,2.1920289855072466,0.05821782178217822,0.0,0.0,0.0,1.8982517482517482,1.0811170212765957,0.0,0.0,0.0
2014-01-19,2.2699633699633703,2.629720853858785,0.0009900990099009901,0.0,0.0,3.786792452830188,3.87972027972028,0.0,0.0,0.0
2005-01-02,3.704504504504505,2.7785714285714285,0.0,0.0,0.0,0.02125984251968504,0.0,0.0,0.0,0.21714285714285714
2011-01-02,0.8675675675675676,0.18367697594501717,0.0,0.0,0.0,1.0824626865671643,1.1926966292134833,0.0,0.0,0.11948529411764706
2008-01-20,0.2677631578947368,1.8527426160337552,0.0,0.0,0.0,0.002542372881355932,0.0,0.0,0.006349206349206349,0.2623376623376623
2013-01-20,0.280794701986755,0.38198198198198197,0.0,0.0,0.0,0.21798780487804878,0.6066371681415929,0.0,0.0,0.0
